pid,baseline_mean,best_field,best_delta,best_mean,improvement
p034,24.54869270324707,engaged_num,1.0,25.689071655273438,1.1403789520263672
p035,33.26731872558594,active_num,-1.0,34.91823196411133,1.6509132385253906
p036,23.1220645904541,active_num,-1.0,24.8984432220459,1.7763786315917969
p037,22.404836654663086,anxious_num,-1.0,23.4025821685791,0.9977455139160156
p038,19.500062942504883,active_num,-1.0,21.992897033691406,2.4928340911865234
p039,28.943090438842773,active_num,-1.0,31.078123092651367,2.1350326538085938
p040,22.992143630981445,social_num,-1.0,24.074012756347656,1.081869125366211
p041,32.417083740234375,active_num,-1.0,34.73916244506836,2.3220787048339844
p042,27.649320602416992,active_num,-1.0,29.020286560058594,1.3709659576416016
p043,29.878602981567383,engaged_num,1.0,30.9741153717041,1.0955123901367188
p044,29.844457626342773,engaged_num,1.0,31.10701560974121,1.2625579833984375
p045,26.939443588256836,anxious_num,-1.0,29.909509658813477,2.9700660705566406
p046,31.083436965942383,anxious_num,-1.0,34.66273880004883,3.5793018341064453
p047,40.55704116821289,anxious_num,-1.0,42.62922668457031,2.072185516357422
p048,27.578399658203125,active_num,-1.0,28.780244827270508,1.2018451690673828
p049,29.07677459716797,engaged_num,1.0,30.047327041625977,0.9705524444580078
p050,28.400014877319336,engaged_num,1.0,29.81633186340332,1.4163169860839844
p051,25.048551559448242,active_num,-1.0,27.48482322692871,2.4362716674804688
p052,12.841099739074707,anxious_num,-1.0,15.885212898254395,3.0441131591796875
p053,25.737899780273438,active_num,-1.0,27.745527267456055,2.007627487182617
p054,21.039215087890625,active_num,-1.0,23.246484756469727,2.2072696685791016
p055,30.487503051757812,engaged_num,1.0,31.680025100708008,1.1925220489501953
p056,28.570768356323242,anxious_num,-1.0,29.71571922302246,1.1449508666992188
p057,25.32356834411621,active_num,1.0,27.439376831054688,2.1158084869384766
p058,24.06194305419922,engaged_num,1.0,25.177305221557617,1.1153621673583984
p059,28.99335479736328,active_num,-1.0,31.502817153930664,2.509462356567383
p060,30.075103759765625,active_num,-1.0,31.793664932250977,1.7185611724853516
p061,30.406906127929688,active_num,-1.0,32.64365768432617,2.2367515563964844
p062,20.10883331298828,engaged_num,1.0,22.222814559936523,2.113981246948242
p063,21.885711669921875,engaged_num,1.0,22.318666458129883,0.4329547882080078
p064,25.062355041503906,active_num,-1.0,27.161874771118164,2.099519729614258
p065,36.408607482910156,anxious_num,-1.0,38.248435974121094,1.8398284912109375
p066,25.018157958984375,engaged_num,1.0,25.742273330688477,0.7241153717041016
p067,25.15550422668457,active_num,-1.0,25.737030029296875,0.5815258026123047
p068,28.61844825744629,engaged_num,1.0,30.725393295288086,2.106945037841797
p069,34.5992317199707,anxious_num,-1.0,37.32537078857422,2.7261390686035156
p070,28.706628799438477,active_num,-1.0,30.331926345825195,1.6252975463867188
p071,31.55619239807129,active_num,-1.0,33.03109359741211,1.4749011993408203
p072,24.528902053833008,engaged_num,1.0,26.655120849609375,2.126218795776367
p073,33.80473709106445,active_num,-1.0,35.071353912353516,1.2666168212890625
p074,27.576570510864258,active_num,-1.0,29.835609436035156,2.2590389251708984
p075,30.798721313476562,engaged_num,1.0,31.256975173950195,0.4582538604736328
p076,32.11445999145508,active_num,-1.0,33.63645935058594,1.5219993591308594
p077,24.98399543762207,active_num,-1.0,25.971181869506836,0.9871864318847656
p078,30.297758102416992,anxious_num,-1.0,31.126314163208008,0.8285560607910156
p079,27.80018424987793,engaged_num,1.0,29.05927848815918,1.25909423828125
p080,28.777725219726562,active_num,-1.0,30.604888916015625,1.8271636962890625
p081,28.25688362121582,anxious_num,-1.0,29.05272674560547,0.7958431243896484
p082,28.390586853027344,anxious_num,-1.0,30.187828063964844,1.7972412109375
p083,16.812105178833008,active_num,-1.0,18.11088752746582,1.2987823486328125
p084,30.037790298461914,engaged_num,1.0,31.277976989746094,1.2401866912841797
p085,16.431442260742188,engaged_num,1.0,17.54192543029785,1.110483169555664
p086,23.31789207458496,active_num,-1.0,24.571670532226562,1.2537784576416016
p087,20.417762756347656,active_num,-1.0,21.406522750854492,0.9887599945068359
p088,12.31733226776123,anxious_num,-1.0,13.832518577575684,1.5151863098144531
p089,15.203280448913574,social_num,-1.0,16.591896057128906,1.388615608215332
p090,17.885114669799805,active_num,-1.0,21.408357620239258,3.523242950439453
p091,23.45008087158203,active_num,-1.0,25.39732551574707,1.947244644165039
p092,25.929901123046875,engaged_num,1.0,26.912729263305664,0.9828281402587891
p093,29.24100685119629,engaged_num,1.0,30.548112869262695,1.3071060180664062
p094,23.84832191467285,anxious_num,-1.0,26.70222282409668,2.853900909423828
p095,26.954330444335938,anxious_num,-1.0,29.017433166503906,2.0631027221679688
p096,16.617952346801758,active_num,-1.0,19.011571884155273,2.3936195373535156
p097,15.982821464538574,anxious_num,-1.0,18.543781280517578,2.560959815979004
p098,23.864028930664062,anxious_num,-1.0,25.251327514648438,1.387298583984375
